Time [sec]	P [h Pa]	T [°C]	U [%]	Wsp [m/s]	Wdir [°]	Lon [°]    	Lat [°]  	Altitude [m]	Geo Pot [m']	MRI   	RI   	Dew [°C]	Vi Te [°C]	Rs [m/s]	D [kg/m3]	Azimuth [°]	Elevation [°]	Range [m]
0         	862.2   	-4.80 	36   	12.0     	090     	-111.845300	40.895450	1583.0      	1583.0      	499.7 	251.2	-17.5   	-4.6      	-25.3   	1.119501 	180        	41           	0        
1         	861.9   	-5.03 	41   	12.0     	090     	-111.845441	40.895473	1584.6      	1584.6      	500.4 	251.6	-16.1   	-4.8      	1.6     	1.120136 	104        	9            	12       
2         	861.7   	-5.11 	41   	12.0     	090     	-111.845582	40.895495	1586.3      	1586.2      	500.6 	251.6	-16.4   	-4.9      	1.6     	1.120135 	103        	8            	25       
3         	861.4   	-5.18 	40   	12.0     	089     	-111.845722	40.895518	1588.5      	1588.5      	500.9 	251.5	-16.6   	-5.0      	2.2     	1.120103 	103        	9            	37       
4         	861.2   	-5.24 	40   	12.0     	089     	-111.845863	40.895540	1591.2      	1591.2      	501.3 	251.5	-16.7   	-5.0      	2.8     	1.120017 	102        	10           	49       
5         	860.9   	-5.26 	39   	12.0     	089     	-111.846004	40.895563	1594.0      	1594.0      	501.7 	251.4	-17.0   	-5.1      	2.8     	1.119802 	102        	11           	62       
6         	860.7   	-5.31 	39   	12.0     	089     	-111.846145	40.895586	1596.7      	1596.7      	502.1 	251.4	-17.0   	-5.1      	2.8     	1.119683 	102        	11           	74       
7         	860.3   	-5.44 	39   	12.0     	088     	-111.846285	40.895608	1599.5      	1599.5      	502.5 	251.4	-17.1   	-5.3      	2.8     	1.119714 	102        	11           	87       
8         	859.9   	-5.59 	39   	12.0     	088     	-111.846426	40.895631	1602.5      	1602.4      	503.0 	251.4	-17.3   	-5.4      	3.0     	1.119837 	102        	12           	99       
9         	859.5   	-5.71 	39   	12.0     	088     	-111.846567	40.895653	1606.3      	1606.3      	503.6 	251.4	-17.4   	-5.5      	3.9     	1.119827 	102        	12           	112      
10        	859.1   	-5.79 	39   	12.0     	088     	-111.846708	40.895676	1610.2      	1610.2      	504.2 	251.4	-17.5   	-5.6      	3.9     	1.119652 	102        	13           	124      
11        	858.8   	-5.84 	39   	12.0     	087     	-111.846849	40.895699	1614.1      	1614.1      	504.7 	251.3	-17.6   	-5.7      	3.9     	1.119372 	102        	13           	137      
12        	858.4   	-5.89 	39   	12.0     	087     	-111.846989	40.895721	1617.9      	1617.9      	505.3 	251.3	-17.6   	-5.7      	3.9     	1.119078 	102        	14           	150      
13        	858.0   	-5.92 	39   	12.0     	087     	-111.847130	40.895744	1621.8      	1621.8      	505.8 	251.2	-17.7   	-5.7      	3.9     	1.118669 	102        	14           	163      
14        	857.5   	-5.95 	39   	12.1     	086     	-111.847271	40.895766	1625.5      	1625.5      	506.3 	251.1	-17.7   	-5.8      	3.7     	1.118255 	102        	14           	175      
15        	857.1   	-6.00 	39   	12.2     	086     	-111.847413	40.895788	1629.2      	1629.2      	506.8 	251.0	-17.7   	-5.8      	3.7     	1.117916 	102        	14           	188      
16        	856.7   	-6.05 	39   	12.4     	085     	-111.847610	40.895771	1632.9      	1632.9      	507.3 	250.9	-17.8   	-5.9      	3.7     	1.117590 	100        	14           	204      
17        	856.3   	-6.08 	39   	12.5     	085     	-111.847808	40.895754	1636.6      	1636.6      	507.8 	250.8	-17.8   	-5.9      	3.7     	1.117219 	99         	14           	221      
18        	855.9   	-6.10 	39   	12.6     	084     	-111.848006	40.895737	1640.4      	1640.3      	508.3 	250.7	-17.8   	-5.9      	3.7     	1.116753 	98         	14           	237      
19        	855.5   	-6.12 	39   	12.7     	084     	-111.848203	40.895720	1644.2      	1644.1      	508.8 	250.6	-17.8   	-5.9      	3.8     	1.116255 	97         	14           	254      
20        	855.1   	-6.14 	39   	12.9     	084     	-111.848401	40.895703	1648.1      	1648.1      	509.3 	250.5	-17.8   	-6.0      	4.0     	1.115812 	96         	14           	271      
21        	854.6   	-6.17 	39   	13.0     	083     	-111.848599	40.895685	1652.1      	1652.0      	509.8 	250.4	-17.9   	-6.0      	4.0     	1.115377 	95         	14           	288      
22        	854.2   	-6.21 	39   	13.1     	083     	-111.848796	40.895668	1656.0      	1656.0      	510.3 	250.3	-17.9   	-6.0      	4.0     	1.114946 	95         	14           	305      
23        	853.8   	-6.23 	39   	13.3     	082     	-111.848994	40.895651	1660.0      	1660.0      	510.9 	250.2	-17.9   	-6.1      	4.0     	1.114496 	94         	14           	322      
24        	853.3   	-6.25 	39   	13.4     	082     	-111.849191	40.895634	1663.9      	1663.9      	511.4 	250.1	-17.9   	-6.1      	4.0     	1.114009 	94         	14           	339      
25        	853.0   	-6.28 	39   	13.5     	081     	-111.849389	40.895617	1667.5      	1667.5      	511.9 	250.1	-18.0   	-6.1      	3.6     	1.113696 	93         	14           	355      
26        	852.7   	-6.32 	39   	13.7     	081     	-111.849587	40.895600	1670.5      	1670.5      	512.3 	250.0	-18.0   	-6.1      	3.0     	1.113404 	93         	14           	372      
27        	852.3   	-6.31 	39   	13.8     	081     	-111.849784	40.895583	1673.5      	1673.5      	512.6 	249.9	-18.0   	-6.1      	3.0     	1.112949 	92         	14           	389      
28        	852.0   	-6.30 	39   	14.0     	080     	-111.849982	40.895565	1676.5      	1676.5      	513.0 	249.8	-17.9   	-6.1      	3.0     	1.112450 	92         	13           	406      
29        	851.6   	-6.32 	39   	14.1     	080     	-111.850179	40.895548	1679.5      	1679.5      	513.4 	249.7	-18.0   	-6.1      	3.0     	1.112090 	92         	13           	423      
30        	851.3   	-6.38 	39   	14.2     	079     	-111.850377	40.895531	1682.7      	1682.6      	513.8 	249.7	-18.0   	-6.2      	3.1     	1.111900 	91         	13           	440      
31        	850.9   	-6.43 	39   	14.4     	079     	-111.850575	40.895514	1686.0      	1685.9      	514.3 	249.6	-18.1   	-6.3      	3.3     	1.111640 	91         	13           	457      
32        	850.6   	-6.32 	38   	14.5     	079     	-111.850772	40.895497	1689.3      	1689.3      	514.6 	249.4	-18.1   	-6.1      	3.3     	1.110725 	91         	13           	473      
33        	850.3   	-6.16 	38   	14.5     	078     	-111.850970	40.895480	1692.6      	1692.6      	514.9 	249.1	-18.0   	-6.0      	3.3     	1.109621 	90         	13           	490      
34        	849.9   	-6.01 	38   	14.5     	078     	-111.851168	40.895463	1695.9      	1695.9      	515.1 	248.9	-18.1   	-5.8      	3.3     	1.108533 	90         	13           	507      
35        	849.6   	-5.75 	37   	14.6     	078     	-111.851365	40.895445	1699.3      	1699.2      	515.3 	248.5	-18.0   	-5.6      	3.3     	1.107023 	90         	13           	524      
36        	849.2   	-5.48 	36   	14.6     	078     	-111.851563	40.895428	1701.9      	1701.8      	515.3 	248.1	-17.9   	-5.3      	2.6     	1.105425 	90         	13           	541      
37        	848.9   	-5.18 	36   	14.7     	077     	-111.851760	40.895411	1704.4      	1704.4      	515.3 	247.7	-17.9   	-5.0      	2.6     	1.103834 	90         	13           	558      
38        	848.7   	-4.88 	35   	14.7     	077     	-111.851958	40.895394	1707.0      	1707.0      	515.3 	247.3	-17.9   	-4.7      	2.6     	1.102251 	89         	12           	575      
39        	848.4   	-4.66 	34   	14.8     	077     	-111.852156	40.895377	1709.6      	1709.6      	515.4 	247.0	-18.0   	-4.5      	2.6     	1.101015 	89         	12           	592      
40        	848.1   	-4.38 	34   	14.8     	077     	-111.852353	40.895360	1712.2      	1712.1      	515.4 	246.6	-17.9   	-4.2      	2.6     	1.099498 	89         	12           	609      
41        	847.8   	-4.01 	33   	14.9     	076     	-111.852551	40.895343	1714.6      	1714.6      	515.3 	246.1	-17.9   	-3.8      	2.4     	1.097646 	89         	12           	625      
42        	847.6   	-3.89 	32   	14.9     	076     	-111.852748	40.895325	1717.1      	1717.0      	515.5 	245.9	-18.0   	-3.7      	2.4     	1.096786 	89         	12           	642      
43        	847.3   	-3.94 	32   	15.0     	076     	-111.852946	40.895308	1719.5      	1719.5      	515.8 	245.9	-18.3   	-3.8      	2.4     	1.096624 	89         	12           	659      
44        	847.0   	-3.90 	31   	15.0     	076     	-111.853144	40.895291	1722.0      	1721.9      	516.1 	245.7	-18.4   	-3.7      	2.4     	1.096103 	89         	12           	676      
45        	846.7   	-3.81 	31   	15.1     	075     	-111.853341	40.895274	1724.4      	1724.3      	516.3 	245.5	-18.5   	-3.6      	2.4     	1.095406 	88         	12           	693      
46        	846.5   	-3.76 	30   	15.1     	075     	-111.853542	40.895248	1727.0      	1726.9      	516.5 	245.4	-18.6   	-3.6      	2.6     	1.094833 	88         	12           	710      
47        	846.2   	-3.65 	30   	15.2     	075     	-111.853742	40.895222	1729.7      	1729.6      	516.7 	245.2	-18.7   	-3.5      	2.7     	1.094050 	88         	12           	727      
48        	845.9   	-3.52 	29   	15.2     	075     	-111.853943	40.895196	1732.4      	1732.4      	517.0 	245.0	-18.7   	-3.4      	2.7     	1.093146 	88         	12           	744      
49        	845.4   	-3.43 	29   	15.3     	074     	-111.854143	40.895170	1735.1      	1735.1      	517.1 	244.7	-18.8   	-3.3      	2.7     	1.092081 	88         	12           	761      
50        	844.8   	-3.45 	28   	15.3     	074     	-111.854344	40.895144	1737.9      	1737.8      	517.4 	244.5	-19.0   	-3.3      	2.7     	1.091457 	87         	11           	779      
51        	844.3   	-3.48 	28   	15.4     	074     	-111.854544	40.895118	1740.6      	1740.5      	517.7 	244.4	-19.2   	-3.3      	2.7     	1.090864 	87         	11           	796      
52        	843.7   	-3.41 	28   	15.4     	074     	-111.854745	40.895092	1747.9      	1747.8      	518.6 	244.2	-19.3   	-3.3      	7.3     	1.089899 	87         	12           	814      
53        	843.2   	-3.13 	27   	15.4     	074     	-111.854945	40.895066	1755.5      	1755.4      	519.3 	243.7	-19.2   	-3.0      	7.6     	1.088046 	87         	12           	832      
54        	842.7   	-2.86 	27   	15.3     	074     	-111.855145	40.895040	1763.1      	1763.0      	520.1 	243.3	-19.3   	-2.7      	7.6     	1.086266 	87         	12           	850      
55        	841.8   	-2.90 	26   	15.3     	075     	-111.855346	40.895013	1770.6      	1770.5      	521.0 	243.0	-19.8   	-2.7      	7.6     	1.085393 	87         	12           	869      
56        	841.0   	-2.91 	25   	15.2     	075     	-111.855546	40.894987	1778.2      	1778.1      	522.0 	242.8	-20.1   	-2.8      	7.6     	1.084402 	87         	13           	887      
57        	840.2   	-2.54 	24   	15.2     	075     	-111.855747	40.894961	1785.8      	1785.7      	522.6 	242.2	-20.1   	-2.4      	7.6     	1.081893 	86         	13           	905      
58        	839.4   	-1.96 	24   	15.1     	076     	-111.855947	40.894935	1793.4      	1793.3      	523.0 	241.4	-19.9   	-1.8      	7.6     	1.078522 	86         	13           	924      
59        	838.6   	-1.63 	23   	15.1     	076     	-111.856148	40.894909	1801.0      	1800.9      	523.6 	240.8	-20.0   	-1.5      	7.6     	1.076181 	86         	13           	942      
60        	837.8   	-1.56 	22   	15.1     	077     	-111.856348	40.894883	1808.5      	1808.4      	524.5 	240.5	-20.3   	-1.4      	7.6     	1.074897 	86         	14           	960      
61        	837.2   	-1.57 	22   	15.0     	077     	-111.856549	40.894857	1816.1      	1816.0      	525.4 	240.3	-20.6   	-1.4      	7.6     	1.074060 	86         	14           	979      
62        	836.5   	-1.50 	21   	15.0     	077     	-111.856749	40.894831	1822.4      	1822.3      	526.2 	240.0	-20.7   	-1.4      	6.3     	1.072926 	86         	14           	997      
63        	835.8   	-1.35 	21   	14.9     	078     	-111.856950	40.894805	1828.7      	1828.6      	526.8 	239.7	-20.7   	-1.2      	6.3     	1.071468 	86         	14           	1015     
64        	835.2   	-1.33 	21   	14.9     	078     	-111.857150	40.894779	1835.0      	1834.9      	527.6 	239.5	-20.8   	-1.2      	6.3     	1.070548 	86         	14           	1033     
65        	834.5   	-1.47 	21   	14.9     	078     	-111.857351	40.894753	1841.0      	1840.9      	528.4 	239.4	-21.0   	-1.3      	6.1     	1.070234 	86         	14           	1051     
66        	833.8   	-1.56 	21   	14.8     	079     	-111.857551	40.894727	1846.8      	1846.7      	529.2 	239.3	-21.1   	-1.4      	5.8     	1.069720 	86         	14           	1069     
67        	833.2   	-1.58 	21   	14.8     	079     	-111.857752	40.894700	1852.6      	1852.4      	530.0 	239.1	-21.1   	-1.4      	5.8     	1.069049 	85         	14           	1087     
68        	832.6   	-1.70 	21   	14.8     	080     	-111.857952	40.894674	1858.3      	1858.2      	530.8 	239.1	-21.2   	-1.6      	5.8     	1.068731 	85         	14           	1105     
69        	832.0   	-1.80 	21   	14.7     	080     	-111.858153	40.894648	1864.1      	1864.0      	531.7 	239.0	-21.3   	-1.7      	5.8     	1.068375 	85         	15           	1123     
70        	831.4   	-1.83 	21   	14.7     	080     	-111.858353	40.894622	1869.9      	1869.8      	532.4 	238.8	-21.3   	-1.7      	5.8     	1.067721 	85         	15           	1141     
71        	830.8   	-2.02 	21   	14.7     	081     	-111.858554	40.894596	1875.6      	1875.5      	533.3 	238.8	-21.4   	-1.9      	5.7     	1.067681 	85         	15           	1159     
72        	830.2   	-2.23 	21   	14.6     	081     	-111.858754	40.894570	1881.2      	1881.1      	534.2 	238.9	-21.5   	-2.1      	5.6     	1.067761 	85         	15           	1177     
73        	829.6   	-2.38 	21   	14.6     	082     	-111.858955	40.894544	1886.8      	1886.7      	535.1 	238.8	-21.6   	-2.3      	5.6     	1.067553 	85         	15           	1195     
74        	829.0   	-2.50 	21   	14.8     	081     	-111.859155	40.894518	1892.4      	1892.3      	535.9 	238.8	-21.6   	-2.4      	5.6     	1.067197 	85         	15           	1213     
