 98 11 25 07     -5.0     -2.8     -6.1     -7.2     -5.6 
 98 11 25 04     -8.9     -4.4     -6.7     -8.3     -6.7 
 98 11 25 14     -1.7     -0.6     -2.2     -6.1     -4.4 
 98 11 30 19      6.1      6.7      1.7     -2.2     -0.6 
 98 11 30 23      5.0      5.0      1.7     -2.2      0.0 
 98 12 01 04      4.4      3.9      2.2     -2.2     -0.6 
 98 12 01 05      4.4      3.9      1.7     -2.8     -1.1 
 98 12 01 00      5.0      5.0      2.2     -1.7      0.0 
 98 12 01 06      4.4      3.9      1.7     -2.8     -1.1 
 98 12 01 01      5.0      4.4      2.2     -2.2      0.0 
 98 12 01 03      5.0      4.4      2.2     -2.2     -0.6 
 98 12 01 02      5.0      4.4      2.2     -2.2      0.0 
 98 12 02 15     -1.1      0.0     -2.2     -5.4     -3.3 
 98 12 02 16     -3.0      0.0     -2.2     -5.2     -3.3 
 98 12 02 23      0.0      3.9     -0.6     -2.9     -1.7 
 98 12 02 21      4.3      4.4      1.7     -2.6     -0.6 
 98 12 02 17     -3.2      2.8     -1.1     -3.9     -2.8 
 98 12 02 19      4.8      3.9      0.6     -3.0     -1.7 
 98 12 02 18     -0.9      3.9     -0.6     -3.5     -2.2 
 98 12 02 14     -0.3      0.6     -1.7     -4.9     -2.8 
 98 12 02 20      6.6      4.4      1.1     -2.7     -1.1 
 98 12 02 22      1.2      5.0      0.0     -2.6     -0.6 
 98 12 03 23      5.7      7.8      3.3     -0.4      1.7 
 98 12 03 08     -4.7     -1.7     -1.1     -4.2     -2.2 
 98 12 03 07     -4.5     -1.7     -1.1     -4.1     -2.2 
 98 12 03 15     -5.6      0.0     -0.6     -2.9     -1.1 
 98 12 03 00     -0.8      2.2     -0.6     -3.4     -2.2 
 98 12 03 03     -4.1     -1.7     -1.7     -4.7     -2.8 
 98 12 03 17     -4.2      6.1      0.6     -1.6     -0.6 
 98 12 03 16     -4.9      1.7      0.0     -2.6     -1.1 
 98 12 03 21      7.3      7.8      3.9     -0.6      2.2 
 98 12 03 05     -4.7     -1.7     -1.7     -4.8     -2.8 
 98 12 03 22      4.9      6.7      2.8     -0.7      2.2 
 98 12 03 01     -1.9      1.1     -0.6     -4.2     -2.2 
 98 12 03 09     -5.0     -1.7     -1.7     -4.3     -2.8 
 98 12 03 02     -3.3     -1.1     -2.2     -4.6     -2.8 
 98 12 03 11     -5.0     -1.7     -2.2     -4.2     -2.2 
 98 12 03 14     -5.2     -1.1     -1.7     -3.3     -1.1 
 98 12 03 04     -4.7     -1.1     -2.2     -5.2     -3.3 
 98 12 03 10     -4.8     -2.2     -2.2     -4.1     -2.2 
 98 12 03 19      6.1      6.7      3.3     -0.2      1.1 
 98 12 03 20      8.2      7.2      3.9      0.3      2.2 
 98 12 03 12     -4.4     -2.2     -2.8     -4.0     -2.2 
