# STATION: 51101
# STATION NAME: Buoy 51101
# LATITUDE: 24.30000
# LONGITUDE: -162.20000
# ELEVATION [ft]: 0
# STATE: 
Station_ID,Date_Time,wave_height_set_1,pressure_set_1,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,tide_indicator_set_1,wave_period_set_1,sea_level_pressure_set_1,T_water_temp_set_1,primary_swell_wave_period_set_1,primary_swell_wave_height_set_1,secondary_swell_wave_direction_set_1,secondary_swell_wave_period_set_1,secondary_swell_wave_height_set_1,platform_true_direction_set_1,primary_swell_true_direction_set_1,platform_true_speed_set_1,visibility_set_1,dew_point_temperature_set_1d,wind_chill_set_1d,wind_cardinal_direction_set_1d,sea_level_pressure_set_1d,heat_index_set_1d,wet_bulb_temperature_set_1d,altimeter_set_1d
,,Meters,Pascals,Celsius,%,m/s,Degrees,m/s,code,Seconds,Pascals,Celsius,Seconds,Meters,Degrees,Seconds,Meters,Degrees,Degrees,m/s,Statute miles,Celsius,Celsius,Code,Pascals,Celsius,Celsius,Pascals
51101,2018-10-01T01:00:00Z,,101500.0,,,5.99,70.0,7.0,,,,,,,,,,,,,,,,ENE,,,,101499.17
51101,2018-10-01T01:10:00Z,,101500.0,25.61,77.67,5.0,70.0,7.0,,,,26.31,,,,,,,,,,21.41,,ENE,101500.0,,,101499.17
51101,2018-10-01T01:20:00Z,,101500.0,25.61,76.26,5.0,70.0,7.0,,,,26.31,,,,,,,,,,21.11,,ENE,101500.0,,,101499.17
51101,2018-10-01T01:30:00Z,,101490.0,25.61,76.73,5.0,80.0,5.99,,,,26.31,,,,,,,,,,21.21,,E,101490.0,,,101489.17
51101,2018-10-01T01:40:00Z,,101500.0,25.61,77.67,5.0,70.0,5.99,,,,26.31,,,,,,,,,,21.41,,ENE,101500.0,,,101499.17
51101,2018-10-01T01:50:00Z,1.9,101490.0,25.61,77.2,5.0,70.0,5.99,,9.0,,26.31,9.0,2.0,,,,,50.0,,,21.31,,ENE,101490.0,,,101489.17
51101,2018-10-01T02:00:00Z,,101500.0,25.71,76.27,5.0,80.0,5.99,,,,26.31,,,,,,,,,,21.21,,E,101500.0,,,101499.17
51101,2018-10-01T02:10:00Z,,101490.0,25.71,76.27,5.0,80.0,7.0,,,,26.31,,,,,,,,,,21.21,,E,101490.0,,,101489.17
51101,2018-10-01T02:20:00Z,,101500.0,25.71,77.21,5.0,70.0,5.99,,,,26.31,,,,,,,,,,21.41,,ENE,101500.0,,,101499.17
51101,2018-10-01T02:30:00Z,,101500.0,25.71,77.69,5.0,70.0,7.0,,,,26.31,,,,,,,,,,21.51,,ENE,101500.0,,,101499.17
51101,2018-10-01T02:40:00Z,,101510.0,25.71,77.21,5.0,80.0,5.99,,,,26.31,,,,,,,,,,21.41,,E,101510.0,,,101509.17
51101,2018-10-01T02:50:00Z,1.7,101520.0,25.71,77.21,5.0,80.0,5.99,,10.0,,26.31,10.0,1.5,,,,,360.0,,,21.41,,E,101520.0,,,101519.17
51101,2018-10-01T03:00:00Z,,101530.0,25.71,77.21,5.0,80.0,5.99,,,,26.31,,,,,,,,,,21.41,,E,101530.0,,,101529.17
51101,2018-10-01T03:10:00Z,,101510.0,25.81,77.23,5.0,80.0,5.99,,,,26.31,,,,,,,,,,21.51,,E,101510.0,,,101509.17
51101,2018-10-01T03:20:00Z,,101510.0,25.71,78.16,5.99,70.0,7.0,,,,26.21,,,,,,,,,,21.61,,ENE,101510.0,,,101509.17
51101,2018-10-01T03:30:00Z,,101520.0,25.71,77.69,5.99,80.0,7.0,,,,26.31,,,,,,,,,,21.51,,E,101520.0,,,101519.17
51101,2018-10-01T03:40:00Z,,101520.0,25.71,77.69,5.99,80.0,7.0,,,,26.21,,,,,,,,,,21.51,,E,101520.0,,,101519.17
51101,2018-10-01T03:50:00Z,1.8,101530.0,25.71,78.64,5.99,80.0,7.0,,10.0,,26.21,10.0,1.5,,,,,350.0,,,21.71,,E,101530.0,,,101529.17
