# STATION: WBB
# STATION NAME: U of U William Browning Building
# LATITUDE: 40.76623
# LONGITUDE: -111.84755
# ELEVATION [ft]: 4806
# STATE: UT
Station_ID,Date_Time,pressure_set_1,air_temp_set_1,wind_speed_set_1,wind_direction_set_1,altimeter_set_1d
,,Pascals,Celsius,m/s,Degrees,Pascals
WBB,2019-02-20T17:00:00-0700,84096.0,-2.01,0.29,252.3,100349.38
WBB,2019-02-20T17:01:00-0700,84098.0,-1.9,0.7,237.1,100351.76
WBB,2019-02-20T17:02:00-0700,84097.0,-1.81,2.01,216.3,100350.57
WBB,2019-02-20T17:03:00-0700,84098.0,-1.78,2.52,210.0,100351.76
WBB,2019-02-20T17:04:00-0700,84101.0,-1.87,2.66,216.2,100355.34
WBB,2019-02-20T17:05:00-0700,84098.0,-1.94,2.27,218.0,100351.76
WBB,2019-02-20T17:06:00-0700,84099.0,-1.99,2.57,206.3,100352.96
WBB,2019-02-20T17:07:00-0700,84098.0,-2.02,1.32,206.6,100351.76
WBB,2019-02-20T17:08:00-0700,84098.0,-2.08,1.66,206.4,100351.76
WBB,2019-02-20T17:09:00-0700,84098.0,-2.12,2.65,226.3,100351.76
WBB,2019-02-20T17:10:00-0700,84097.0,-2.15,2.55,197.5,100350.57
WBB,2019-02-20T17:11:00-0700,84098.0,-2.17,1.57,201.9,100351.76
WBB,2019-02-20T17:12:00-0700,84096.0,-2.14,1.97,219.1,100349.38
WBB,2019-02-20T17:13:00-0700,84096.0,-2.16,1.52,198.9,100349.38
WBB,2019-02-20T17:14:00-0700,84094.0,-2.1,1.96,201.7,100346.99
WBB,2019-02-20T17:15:00-0700,84089.0,-2.09,1.66,196.5,100341.02
WBB,2019-02-20T17:16:00-0700,84089.0,-1.99,1.62,184.4,100341.02
WBB,2019-02-20T17:17:00-0700,84089.0,-1.9,1.4,185.3,100341.02
WBB,2019-02-20T17:18:00-0700,84087.0,-1.88,1.68,174.8,100338.64
WBB,2019-02-20T17:19:00-0700,84087.0,-1.86,2.31,173.9,100338.64
WBB,2019-02-20T17:20:00-0700,84088.0,-1.86,2.22,218.2,100339.83
WBB,2019-02-20T17:21:00-0700,84089.0,-1.92,4.0,212.9,100341.02
WBB,2019-02-20T17:22:00-0700,84093.0,-2.04,3.19,213.7,100345.8
WBB,2019-02-20T17:23:00-0700,84090.0,-2.18,2.41,237.5,100342.22
WBB,2019-02-20T17:24:00-0700,84088.0,-2.2,1.81,259.1,100339.83
WBB,2019-02-20T17:25:00-0700,84086.0,-2.23,1.48,283.1,100337.44
WBB,2019-02-20T17:26:00-0700,84086.0,-2.2,0.88,260.1,100337.44
WBB,2019-02-20T17:27:00-0700,84087.0,-2.21,1.08,244.6,100338.64
WBB,2019-02-20T17:28:00-0700,84088.0,-2.21,0.55,269.6,100339.83
WBB,2019-02-20T17:29:00-0700,84088.0,-2.13,1.71,262.1,100339.83
WBB,2019-02-20T17:30:00-0700,84086.0,-2.08,2.73,234.7,100337.44
WBB,2019-02-20T17:31:00-0700,84090.0,-2.09,2.34,227.6,100342.22
WBB,2019-02-20T17:32:00-0700,84088.0,-2.11,3.15,247.7,100339.83
WBB,2019-02-20T17:33:00-0700,84090.0,-2.13,2.77,219.0,100342.22
WBB,2019-02-20T17:34:00-0700,84094.0,-2.13,2.56,235.9,100346.99
WBB,2019-02-20T17:35:00-0700,84095.0,-2.16,2.11,235.8,100348.18
WBB,2019-02-20T17:36:00-0700,84091.0,-2.17,1.26,242.6,100343.41
WBB,2019-02-20T17:37:00-0700,84093.0,-2.13,0.75,244.5,100345.8
WBB,2019-02-20T17:38:00-0700,84093.0,-2.11,1.2,241.5,100345.8
WBB,2019-02-20T17:39:00-0700,84092.0,-2.04,2.81,198.6,100344.6
WBB,2019-02-20T17:40:00-0700,84088.0,-2.1,2.62,184.8,100339.83
WBB,2019-02-20T17:41:00-0700,84089.0,-2.11,1.56,236.5,100341.02
WBB,2019-02-20T17:42:00-0700,84091.0,-2.09,2.87,256.2,100343.41
WBB,2019-02-20T17:43:00-0700,84089.0,-2.07,3.75,238.5,100341.02
WBB,2019-02-20T17:44:00-0700,84087.0,-2.12,4.82,230.1,100338.64
WBB,2019-02-20T17:45:00-0700,84086.0,-2.22,4.04,233.8,100337.44
WBB,2019-02-20T17:46:00-0700,84087.0,-2.25,3.67,221.3,100338.64
WBB,2019-02-20T17:47:00-0700,84087.0,-2.26,3.95,220.5,100338.64
WBB,2019-02-20T17:48:00-0700,84086.0,-2.27,4.09,215.8,100337.44
WBB,2019-02-20T17:49:00-0700,84086.0,-2.28,4.45,218.3,100337.44
WBB,2019-02-20T17:50:00-0700,84086.0,-2.28,4.08,207.9,100337.44
WBB,2019-02-20T17:51:00-0700,84085.0,-2.29,3.3,203.2,100336.25
WBB,2019-02-20T17:52:00-0700,84086.0,-2.21,2.34,218.9,100337.44
WBB,2019-02-20T17:53:00-0700,84085.0,-2.18,3.62,225.5,100336.25
WBB,2019-02-20T17:54:00-0700,84088.0,-2.2,3.24,202.8,100339.83
WBB,2019-02-20T17:55:00-0700,84086.0,-2.2,5.13,214.4,100337.44
WBB,2019-02-20T17:56:00-0700,84085.0,-2.26,4.61,199.4,100336.25
WBB,2019-02-20T17:57:00-0700,84088.0,-2.29,4.69,200.7,100339.83
WBB,2019-02-20T17:58:00-0700,84092.0,-2.35,2.6,207.2,100344.6
WBB,2019-02-20T17:59:00-0700,84091.0,-2.35,0.91,209.8,100343.41
WBB,2019-02-20T18:00:00-0700,84092.0,-2.33,0.95,199.3,100344.6
WBB,2019-02-20T18:01:00-0700,84092.0,-2.33,1.36,243.4,100344.6
WBB,2019-02-20T18:02:00-0700,84091.0,-2.31,0.95,249.6,100343.41
WBB,2019-02-20T18:03:00-0700,84090.0,-2.3,0.59,231.2,100342.22
WBB,2019-02-20T18:04:00-0700,84090.0,-2.3,0.26,232.0,100342.22
WBB,2019-02-20T18:05:00-0700,84088.0,-2.29,0.17,231.0,100339.83
WBB,2019-02-20T18:06:00-0700,84089.0,-2.3,0.0,,100341.02
WBB,2019-02-20T18:07:00-0700,84089.0,-2.33,0.0,,100341.02
WBB,2019-02-20T18:08:00-0700,84088.0,-2.37,0.15,231.1,100339.83
WBB,2019-02-20T18:09:00-0700,84088.0,-2.37,0.05,231.2,100339.83
WBB,2019-02-20T18:10:00-0700,84089.0,-2.37,0.06,231.1,100341.02
WBB,2019-02-20T18:11:00-0700,84093.0,-2.33,0.0,,100345.8
WBB,2019-02-20T18:12:00-0700,84094.0,-2.24,0.02,227.4,100346.99
WBB,2019-02-20T18:13:00-0700,84096.0,-2.26,0.61,209.2,100349.38
WBB,2019-02-20T18:14:00-0700,84097.0,-2.27,1.85,179.3,100350.57
WBB,2019-02-20T18:15:00-0700,84097.0,-2.32,1.77,218.2,100350.57
WBB,2019-02-20T18:16:00-0700,84097.0,-2.35,2.23,175.0,100350.57
WBB,2019-02-20T18:17:00-0700,84096.0,-2.35,2.62,183.3,100349.38
WBB,2019-02-20T18:18:00-0700,84097.0,-2.36,1.51,176.4,100350.57
WBB,2019-02-20T18:19:00-0700,84092.0,-2.37,1.24,169.0,100344.6
WBB,2019-02-20T18:20:00-0700,84096.0,-2.36,1.29,166.6,100349.38
WBB,2019-02-20T18:21:00-0700,84094.0,-2.36,1.13,168.4,100346.99
WBB,2019-02-20T18:22:00-0700,84094.0,-2.36,1.9,191.3,100346.99
WBB,2019-02-20T18:23:00-0700,84094.0,-2.34,1.85,192.2,100346.99
WBB,2019-02-20T18:24:00-0700,84093.0,-2.32,1.9,167.5,100345.8
WBB,2019-02-20T18:25:00-0700,84095.0,-2.29,1.16,233.7,100348.18
WBB,2019-02-20T18:26:00-0700,84096.0,-2.24,1.43,234.5,100349.38
WBB,2019-02-20T18:27:00-0700,84095.0,-2.21,1.83,174.4,100348.18
WBB,2019-02-20T18:28:00-0700,84096.0,-2.2,0.78,203.3,100349.38
WBB,2019-02-20T18:29:00-0700,84099.0,-2.14,1.73,219.2,100352.96
WBB,2019-02-20T18:30:00-0700,84101.0,-2.12,2.69,213.9,100355.34
WBB,2019-02-20T18:31:00-0700,84098.0,-2.13,1.35,205.7,100351.76
WBB,2019-02-20T18:32:00-0700,84102.0,-2.1,2.74,233.1,100356.54
WBB,2019-02-20T18:33:00-0700,84101.0,-2.13,2.53,222.1,100355.34
WBB,2019-02-20T18:34:00-0700,84101.0,-2.17,2.88,234.0,100355.34
WBB,2019-02-20T18:35:00-0700,84102.0,-2.21,2.22,239.5,100356.54
WBB,2019-02-20T18:36:00-0700,84101.0,-2.21,1.58,242.0,100355.34
WBB,2019-02-20T18:37:00-0700,84099.0,-2.19,1.06,221.9,100352.96
WBB,2019-02-20T18:38:00-0700,84098.0,-2.17,2.58,206.5,100351.76
WBB,2019-02-20T18:39:00-0700,84099.0,-2.16,1.66,187.6,100352.96
WBB,2019-02-20T18:40:00-0700,84101.0,-2.13,2.18,233.9,100355.34
WBB,2019-02-20T18:41:00-0700,84102.0,-2.2,1.85,266.0,100356.54
WBB,2019-02-20T18:42:00-0700,84102.0,-2.27,1.47,302.9,100356.54
WBB,2019-02-20T18:43:00-0700,84103.0,-2.38,1.55,325.9,100357.73
WBB,2019-02-20T18:44:00-0700,84102.0,-2.44,1.98,335.8,100356.54
WBB,2019-02-20T18:45:00-0700,84103.0,-2.46,1.71,332.0,100357.73
WBB,2019-02-20T18:46:00-0700,84103.0,-2.52,1.86,323.8,100357.73
WBB,2019-02-20T18:47:00-0700,84103.0,-2.58,1.42,314.1,100357.73
WBB,2019-02-20T18:48:00-0700,84104.0,-2.62,1.07,323.7,100358.92
WBB,2019-02-20T18:49:00-0700,84103.0,-2.61,0.33,336.5,100357.73
WBB,2019-02-20T18:50:00-0700,84103.0,-2.61,0.11,360.0,100357.73
WBB,2019-02-20T18:51:00-0700,84104.0,-2.62,0.07,354.6,100358.92
WBB,2019-02-20T18:52:00-0700,84105.0,-2.59,0.04,354.6,100360.12
WBB,2019-02-20T18:53:00-0700,84110.0,-2.59,0.01,354.6,100366.08
WBB,2019-02-20T18:54:00-0700,84106.0,-2.57,0.31,316.2,100361.31
WBB,2019-02-20T18:55:00-0700,84107.0,-2.53,0.31,258.3,100362.5
WBB,2019-02-20T18:56:00-0700,84108.0,-2.53,0.84,276.7,100363.7
WBB,2019-02-20T18:57:00-0700,84109.0,-2.52,0.8,309.2,100364.89
WBB,2019-02-20T18:58:00-0700,84109.0,-2.51,0.34,322.9,100364.89
WBB,2019-02-20T18:59:00-0700,84109.0,-2.51,0.64,332.3,100364.89
WBB,2019-02-20T19:00:00-0700,84111.0,-2.53,1.21,356.8,100367.27
WBB,2019-02-20T19:01:00-0700,84112.0,-2.52,1.27,17.44,100368.47
WBB,2019-02-20T19:02:00-0700,84111.0,-2.58,0.92,18.96,100367.27
WBB,2019-02-20T19:03:00-0700,84112.0,-2.58,0.73,21.13,100368.47
WBB,2019-02-20T19:04:00-0700,84112.0,-2.57,0.69,34.86,100368.47
WBB,2019-02-20T19:05:00-0700,84112.0,-2.6,0.71,46.87,100368.47
WBB,2019-02-20T19:06:00-0700,84113.0,-2.62,0.99,46.74,100369.66
WBB,2019-02-20T19:07:00-0700,84113.0,-2.66,1.22,38.82,100369.66
WBB,2019-02-20T19:08:00-0700,84111.0,-2.77,1.67,25.33,100367.27
WBB,2019-02-20T19:09:00-0700,84111.0,-2.84,1.5,29.0,100367.27
WBB,2019-02-20T19:10:00-0700,84112.0,-2.86,1.62,9.21,100368.47
WBB,2019-02-20T19:11:00-0700,84110.0,-2.88,1.02,23.74,100366.08
WBB,2019-02-20T19:12:00-0700,84109.0,-2.87,1.63,37.78,100364.89
WBB,2019-02-20T19:13:00-0700,84108.0,-2.93,2.09,46.88,100363.7
WBB,2019-02-20T19:14:00-0700,84106.0,-2.97,2.48,51.71,100361.31
WBB,2019-02-20T19:15:00-0700,84104.0,-3.03,3.07,49.33,100358.92
WBB,2019-02-20T19:16:00-0700,84105.0,-3.08,3.26,43.25,100360.12
WBB,2019-02-20T19:17:00-0700,84103.0,-3.12,3.26,45.09,100357.73
WBB,2019-02-20T19:18:00-0700,84103.0,-3.13,2.83,50.88,100357.73
WBB,2019-02-20T19:19:00-0700,84104.0,-3.1,2.33,47.29,100358.92
WBB,2019-02-20T19:20:00-0700,84103.0,-3.04,2.48,44.64,100357.73
WBB,2019-02-20T19:21:00-0700,84103.0,-3.03,2.58,47.07,100357.73
WBB,2019-02-20T19:22:00-0700,84104.0,-3.01,2.09,40.38,100358.92
WBB,2019-02-20T19:23:00-0700,84105.0,-3.02,2.2,53.4,100360.12
WBB,2019-02-20T19:24:00-0700,84105.0,-3.01,2.27,51.17,100360.12
WBB,2019-02-20T19:25:00-0700,84104.0,-3.1,2.52,36.97,100358.92
WBB,2019-02-20T19:26:00-0700,84104.0,-3.16,1.93,52.8,100358.92
WBB,2019-02-20T19:27:00-0700,84105.0,-3.15,1.78,64.86,100360.12
WBB,2019-02-20T19:28:00-0700,84105.0,-3.18,2.6,53.8,100360.12
WBB,2019-02-20T19:29:00-0700,84104.0,-3.24,2.99,44.8,100358.92
WBB,2019-02-20T19:30:00-0700,84109.0,-3.28,2.72,42.92,100364.89
WBB,2019-02-20T19:31:00-0700,84109.0,-3.32,2.89,40.49,100364.89
WBB,2019-02-20T19:32:00-0700,84111.0,-3.36,3.11,44.97,100367.27
WBB,2019-02-20T19:33:00-0700,84113.0,-3.37,2.96,44.26,100369.66
WBB,2019-02-20T19:34:00-0700,84114.0,-3.32,2.55,44.84,100370.85
WBB,2019-02-20T19:35:00-0700,84116.0,-3.33,2.52,45.6,100373.24
WBB,2019-02-20T19:36:00-0700,84115.0,-3.37,2.74,39.85,100372.05
WBB,2019-02-20T19:37:00-0700,84116.0,-3.42,2.45,44.25,100373.24
WBB,2019-02-20T19:38:00-0700,84116.0,-3.48,3.13,39.82,100373.24
WBB,2019-02-20T19:39:00-0700,84117.0,-3.49,2.93,41.93,100374.43
WBB,2019-02-20T19:40:00-0700,84117.0,-3.52,2.88,47.48,100374.43
WBB,2019-02-20T19:41:00-0700,84119.0,-3.52,2.07,48.17,100376.82
WBB,2019-02-20T19:42:00-0700,84119.0,-3.48,1.89,45.65,100376.82
WBB,2019-02-20T19:43:00-0700,84119.0,-3.46,1.9,56.75,100376.82
WBB,2019-02-20T19:44:00-0700,84118.0,-3.48,2.07,47.55,100375.63
WBB,2019-02-20T19:45:00-0700,84119.0,-3.53,2.6,39.32,100376.82
WBB,2019-02-20T19:46:00-0700,84118.0,-3.63,2.48,48.17,100375.63
WBB,2019-02-20T19:47:00-0700,84119.0,-3.66,2.75,35.18,100376.82
WBB,2019-02-20T19:48:00-0700,84118.0,-3.71,2.83,34.69,100375.63
WBB,2019-02-20T19:49:00-0700,84118.0,-3.74,2.78,37.61,100375.63
WBB,2019-02-20T19:50:00-0700,84117.0,-3.79,2.8,35.2,100374.43
WBB,2019-02-20T19:51:00-0700,84115.0,-3.79,2.34,42.48,100372.05
WBB,2019-02-20T19:52:00-0700,84115.0,-3.75,2.57,42.81,100372.05
WBB,2019-02-20T19:53:00-0700,84116.0,-3.77,3.11,38.02,100373.24
WBB,2019-02-20T19:54:00-0700,84109.0,-3.79,3.19,40.77,100364.89
WBB,2019-02-20T19:55:00-0700,84108.0,-3.78,3.26,42.69,100363.7
WBB,2019-02-20T19:56:00-0700,84108.0,-3.79,3.11,40.75,100363.7
WBB,2019-02-20T19:57:00-0700,84108.0,-3.79,3.29,39.82,100363.7
WBB,2019-02-20T19:58:00-0700,84107.0,-3.81,3.22,42.51,100362.5
WBB,2019-02-20T19:59:00-0700,84107.0,-3.8,3.23,40.94,100362.5
WBB,2019-02-20T20:00:00-0700,84107.0,-3.86,3.24,40.5,100362.5
WBB,2019-02-20T20:01:00-0700,84106.0,-3.89,3.61,41.96,100361.31
WBB,2019-02-20T20:02:00-0700,84105.0,-3.94,3.63,42.6,100360.12
WBB,2019-02-20T20:03:00-0700,84106.0,-3.93,3.0,41.61,100361.31
WBB,2019-02-20T20:04:00-0700,84106.0,-3.88,3.0,39.47,100361.31
WBB,2019-02-20T20:05:00-0700,84107.0,-3.86,2.99,34.83,100362.5
WBB,2019-02-20T20:06:00-0700,84107.0,-3.82,2.63,37.27,100362.5
WBB,2019-02-20T20:07:00-0700,84107.0,-3.81,2.89,37.49,100362.5
WBB,2019-02-20T20:08:00-0700,84107.0,-3.86,2.75,37.44,100362.5
WBB,2019-02-20T20:09:00-0700,84106.0,-3.87,2.56,40.13,100361.31
WBB,2019-02-20T20:10:00-0700,84107.0,-3.87,2.88,36.51,100362.5
WBB,2019-02-20T20:11:00-0700,84106.0,-3.9,2.66,37.07,100361.31
WBB,2019-02-20T20:12:00-0700,84106.0,-3.92,2.72,36.66,100361.31
WBB,2019-02-20T20:13:00-0700,84106.0,-3.97,2.66,41.02,100361.31
WBB,2019-02-20T20:14:00-0700,84106.0,-4.01,2.94,41.38,100361.31
WBB,2019-02-20T20:15:00-0700,84105.0,-4.02,3.07,46.17,100360.12
WBB,2019-02-20T20:16:00-0700,84099.0,-4.02,3.19,50.51,100352.96
WBB,2019-02-20T20:17:00-0700,84100.0,-4.02,3.15,51.83,100354.15
WBB,2019-02-20T20:18:00-0700,84103.0,-4.04,2.9,51.94,100357.73
WBB,2019-02-20T20:19:00-0700,84102.0,-4.04,2.3,56.11,100356.54
WBB,2019-02-20T20:20:00-0700,84105.0,-4.04,1.5,64.55,100360.12
WBB,2019-02-20T20:21:00-0700,84105.0,-4.02,1.2,85.0,100360.12
WBB,2019-02-20T20:22:00-0700,84106.0,-3.99,1.23,75.44,100361.31
WBB,2019-02-20T20:23:00-0700,84101.0,-3.97,2.25,53.21,100355.34
WBB,2019-02-20T20:24:00-0700,84103.0,-3.96,2.51,47.34,100357.73
WBB,2019-02-20T20:25:00-0700,84101.0,-3.98,2.44,50.68,100355.34
WBB,2019-02-20T20:26:00-0700,84103.0,-3.9,2.41,46.0,100357.73
WBB,2019-02-20T20:27:00-0700,84099.0,-3.88,3.04,45.55,100352.96
WBB,2019-02-20T20:28:00-0700,84099.0,-3.94,3.18,45.86,100352.96
WBB,2019-02-20T20:29:00-0700,84097.0,-3.94,3.2,50.33,100350.57
WBB,2019-02-20T20:30:00-0700,84096.0,-3.92,3.31,48.95,100349.38
WBB,2019-02-20T20:31:00-0700,84095.0,-3.91,3.26,48.91,100348.18
WBB,2019-02-20T20:32:00-0700,84094.0,-3.84,2.87,49.43,100346.99
WBB,2019-02-20T20:33:00-0700,84095.0,-3.82,2.96,48.12,100348.18
WBB,2019-02-20T20:34:00-0700,84095.0,-3.78,2.75,45.23,100348.18
WBB,2019-02-20T20:35:00-0700,84096.0,-3.78,2.98,41.35,100349.38
WBB,2019-02-20T20:36:00-0700,84095.0,-3.82,3.3,43.24,100348.18
WBB,2019-02-20T20:37:00-0700,84094.0,-3.92,3.41,42.53,100346.99
WBB,2019-02-20T20:38:00-0700,84092.0,-4.0,3.66,43.33,100344.6
WBB,2019-02-20T20:39:00-0700,84091.0,-4.05,3.67,41.74,100343.41
WBB,2019-02-20T20:40:00-0700,84089.0,-4.08,3.58,43.38,100341.02
WBB,2019-02-20T20:41:00-0700,84089.0,-3.98,3.39,40.69,100341.02
WBB,2019-02-20T20:42:00-0700,84088.0,-3.96,3.63,38.92,100339.83
WBB,2019-02-20T20:43:00-0700,84086.0,-3.99,3.71,40.05,100337.44
WBB,2019-02-20T20:44:00-0700,84086.0,-4.01,3.51,37.35,100337.44
WBB,2019-02-20T20:45:00-0700,84082.0,-4.02,3.63,37.49,100332.67
WBB,2019-02-20T20:46:00-0700,84083.0,-4.01,3.47,35.7,100333.86
WBB,2019-02-20T20:47:00-0700,84082.0,-4.06,3.62,36.55,100332.67
WBB,2019-02-20T20:48:00-0700,84082.0,-4.09,3.62,37.3,100332.67
WBB,2019-02-20T20:49:00-0700,84081.0,-4.13,3.77,39.02,100331.48
WBB,2019-02-20T20:50:00-0700,84081.0,-4.21,3.53,37.93,100331.48
WBB,2019-02-20T20:51:00-0700,84081.0,-4.17,3.47,39.04,100331.48
WBB,2019-02-20T20:52:00-0700,84080.0,-4.16,3.28,39.18,100330.28
WBB,2019-02-20T20:53:00-0700,84081.0,-4.13,3.36,40.09,100331.48
WBB,2019-02-20T20:54:00-0700,84080.0,-4.12,3.94,39.21,100330.28
WBB,2019-02-20T20:55:00-0700,84080.0,-4.15,3.51,40.55,100330.28
WBB,2019-02-20T20:56:00-0700,84081.0,-4.07,3.27,40.73,100331.48
WBB,2019-02-20T20:57:00-0700,84080.0,-4.04,3.09,39.62,100330.28
WBB,2019-02-20T20:58:00-0700,84080.0,-4.02,3.24,42.95,100330.28
WBB,2019-02-20T20:59:00-0700,84080.0,-4.04,3.36,44.03,100330.28
WBB,2019-02-20T21:00:00-0700,84080.0,-4.06,3.33,43.31,100330.28
WBB,2019-02-20T21:01:00-0700,84081.0,-4.03,3.14,47.22,100331.48
WBB,2019-02-20T21:02:00-0700,84080.0,-4.04,3.53,48.7,100330.28
WBB,2019-02-20T21:03:00-0700,84081.0,-4.07,3.22,51.54,100331.48
WBB,2019-02-20T21:04:00-0700,84082.0,-4.09,3.03,48.41,100332.67
WBB,2019-02-20T21:05:00-0700,84081.0,-4.1,2.38,53.67,100331.48
WBB,2019-02-20T21:06:00-0700,84084.0,-4.09,2.19,54.52,100335.06
WBB,2019-02-20T21:07:00-0700,84084.0,-4.07,2.34,51.2,100335.06
WBB,2019-02-20T21:08:00-0700,84084.0,-4.08,2.33,58.4,100335.06
WBB,2019-02-20T21:09:00-0700,84086.0,-4.07,2.36,57.18,100337.44
WBB,2019-02-20T21:10:00-0700,84085.0,-4.05,2.13,52.73,100336.25
WBB,2019-02-20T21:11:00-0700,84086.0,-4.03,2.16,54.66,100337.44
WBB,2019-02-20T21:12:00-0700,84085.0,-3.98,2.1,43.85,100336.25
WBB,2019-02-20T21:13:00-0700,84084.0,-4.02,2.45,47.85,100335.06
WBB,2019-02-20T21:14:00-0700,84083.0,-4.06,3.05,44.45,100333.86
