#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resource Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# Help and Tutorials: http://www.wcc.nrcs.usda.gov/report_generator/report_generator_landing.htm
# 
# Support Contact: nrcsprod@midatl.service-now.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 333: Ben Lomond Trail, UT
# 
# Data items provided in this file:
#
# Element Name                Value Type  Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                           
# Precipitation Accumulation  Value       None           Instantaneous - Start of Month  N/A        Inches             N/A           PREC          Water year accumulated precipitation  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Ben Lomond Trail (333) 
# Utah  SNOTEL Site - 5972 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Jan 21, 2019 8:27:31 AM GMT-08:00
#
Water Year,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep
,Precipitation Accumulation (in) Start of Month Values,Precipitation Accumulation (in) Start of Month Values,Precipitation Accumulation (in) Start of Month Values,Precipitation Accumulation (in) Start of Month Values,Precipitation Accumulation (in) Start of Month Values,Precipitation Accumulation (in) Start of Month Values,Precipitation Accumulation (in) Start of Month Values,Precipitation Accumulation (in) Start of Month Values,Precipitation Accumulation (in) Start of Month Values,Precipitation Accumulation (in) Start of Month Values,Precipitation Accumulation (in) Start of Month Values,Precipitation Accumulation (in) Start of Month Values
1981,0.0,1.8,4.3,6.9,9.5,11.1,14.8,17.0,25.3,26.6,26.7,26.7
1982,0.0,7.6,10.4,22.6,29.0,34.9,47.7,50.8,53.0,54.0,56.0,57.6
1983,0.0,4.7,13.5,19.3,21.1,27.9,35.5,42.1,46.4,47.9,49.4,57.1
1984,0.0,7.0,17.6,30.5,31.8,38.8,40.6,45.3,47.9,52.0,54.4,55.7
1985,0.0,6.0,16.1,21.1,22.1,25.1,29.0,31.3,35.3,35.8,38.4,40.4
1986,0.0,6.3,15.5,19.3,21.8,39.9,45.7,50.8,57.5,61.9,63.0,63.6
1987,0.0,2.1,6.0,6.8,12.6,16.0,18.7,20.5,27.1,28.3,31.0,34.3
1988,0.0,1.9,5.6,9.0,14.0,14.9,17.7,23.2,28.8,29.0,29.0,29.5
1989,0.0,0.3,11.0,16.5,20.5,23.7,31.7,33.3,34.8,36.9,37.6,39.4
1990,0.0,2.5,7.1,7.4,14.7,16.9,20.0,25.6,29.1,31.4,32.1,33.2
1991,0.0,2.9,8.1,12.2,14.8,18.1,23.5,26.8,31.6,33.8,34.1,34.8
1992,0.0,4.8,9.7,11.2,12.2,16.7,18.0,19.0,20.0,22.9,25.4,26.0
