# STATION: WBB,,,,,,,,
# STATION NAME: U of U William Browning Building,,,,,,,,
# LATITUDE: 40.76623,,,,,,,,
# LONGITUDE: -111.84755,,,,,,,,
# ELEVATION [ft]: 4806,,,,,,,,
# STATE: UT,,,,,,,,
Station_ID,Date_Time,pressure_set_1,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,altimeter_set_1d
,,Pascals,Celsius,%,m/s,Degrees,m/s,Pascals
WBB,2019-02-21T00:00:00-0700,84051,-4.18,65.03,1.84,270.5,2.74,100295.68
WBB,2019-02-21T00:01:00-0700,84050,-4.13,65.62,2.82,263.1,4.41,100294.49
WBB,2019-02-21T00:02:00-0700,84050,-4.08,64.59,3.1,255.6,3.63,100294.49
WBB,2019-02-21T00:03:00-0700,84049,-4.05,63.21,3.18,248.6,3.82,100293.29
WBB,2019-02-21T00:04:00-0700,84050,-4,62.35,3.4,253.6,4.21,100294.49
WBB,2019-02-21T00:05:00-0700,84052,-3.98,63.58,2.47,257.7,3.82,100296.87
WBB,2019-02-21T00:06:00-0700,84052,-3.97,64.93,2.12,253,3.53,100296.87
WBB,2019-02-21T00:07:00-0700,84053,-3.98,65.23,1.55,288.3,3.23,100298.07
WBB,2019-02-21T00:08:00-0700,84053,-4.01,65.81,0.9,328.6,1.86,100298.07
WBB,2019-02-21T00:09:00-0700,84053,-4,66.33,0.68,2.64,1.47,100298.07
WBB,2019-02-21T00:10:00-0700,84053,-4,66.4,1.37,4.33,1.96,100298.07
WBB,2019-02-21T00:11:00-0700,84052,-4,66.44,1.6,334.1,2.35,100296.87
WBB,2019-02-21T00:12:00-0700,84053,-4.08,65.35,2.04,325.2,2.35,100298.07
WBB,2019-02-21T00:13:00-0700,84053,-4.18,64.12,1.75,317.1,2.55,100298.07
WBB,2019-02-21T00:14:00-0700,84052,-4.25,62.9,1.53,276.8,2.64,100296.87
WBB,2019-02-21T00:15:00-0700,84051,-4.27,63.08,1.09,294.6,1.86,100295.68
WBB,2019-02-21T00:16:00-0700,84050,-4.28,63.17,1.94,307.8,2.55,100294.49
WBB,2019-02-21T00:17:00-0700,84050,-4.28,63.67,2.14,308.8,2.64,100294.49
WBB,2019-02-21T00:18:00-0700,84050,-4.31,62.73,1.96,301.7,2.84,100294.49
WBB,2019-02-21T00:19:00-0700,84050,-4.34,62.66,2.34,308.8,2.94,100294.49
WBB,2019-02-21T00:20:00-0700,84050,-4.34,63.01,1.92,307.3,2.64,100294.49
WBB,2019-02-21T00:21:00-0700,84049,-4.36,62.84,1.58,291.6,2.25,100293.29
WBB,2019-02-21T00:22:00-0700,84049,-4.34,62.18,1.58,272.2,2.45,100293.29
WBB,2019-02-21T00:23:00-0700,84049,-4.31,61.62,2.37,272,3.23,100293.29
